//W	H	C	N	K 	S(filter_W)	R(filter_H)	pad_w	pad_h	stride_w	stride_h	out_w	out_h	input_stride_w	input_stride_h	filter_stride_w	filter_stride_h
1	1	256	32	324	3	3	1	1	1	1	1	1	1	1	1	1
1	1	256	32	16	3	3	1	1	1	1	1	1	1	1	1	1
3	3	256	32	324	3	3	1	1	1	1	3	3	1	1	1	1
3	3	256	32	16	3	3	1	1	1	1	3	3	1	1	1	1
5	5	256	32	486	3	3	1	1	1	1	5	5	1	1	1	1
5	5	256	32	24	3	3	1	1	1	1	5	5	1	1	1	1
10	10	512	32	486	3	3	1	1	1	1	10	10	1	1	1	1
10	10	512	32	24	3	3	1	1	1	1	10	10	1	1	1	1
19	19	512	32	486	3	3	1	1	1	1	19	19	1	1	1	1
19	19	512	32	24	3	3	1	1	1	1	19	19	1	1	1	1
38	38	256	32	324	3	3	1	1	1	1	38	38	1	1	1	1
38	38	256	32	16	3	3	1	1	1	1	38	38	1	1	1	1
3	3	128	32	256	3	3	0	0	1	1	1	1	1	1	1	1
3	3	256	32	128	1	1	0	0	1	1	3	3	1	1	1	1
5	5	128	32	256	3	3	0	0	1	1	3	3	1	1	1	1
5	5	256	32	128	1	1	0	0	1	1	5	5	1	1	1	1
10	10	128	32	256	3	3	1	1	2	2	5	5	1	1	1	1
10	10	512	32	128	1	1	0	0	1	1	10	10	1	1	1	1
19	19	256	32	512	3	3	1	1	2	2	10	10	1	1	1	1
19	19	512	32	256	1	1	0	0	1	1	19	19	1	1	1	1
38	38	256	32	512	3	3	1	1	2	2	19	19	1	1	1	1
38	38	256	32	256	1	1	0	0	1	1	38	38	1	1	1	1
38	38	256	32	256	3	3	1	1	1	1	38	38	1	1	1	1
38	38	128	32	256	1	1	0	0	1	1	38	38	1	1	1	1
38	38	128	32	256	3	3	1	1	1	1	38	38	1	1	1	1
38	38	128	32	128	3	3	1	1	1	1	38	38	1	1	1	1
75	75	64	32	128	1	1	0	0	2	2	38	38	1	1	1	1
75	75	64	32	128	3	3	1	1	2	2	38	38	1	1	1	1
75	75	64	32	64	3	3	1	1	1	1	75	75	1	1	1	1
300	300	3	32	64	7	7	3	3	2	2	150	150	1	1	1	1
