input_format	output_format	filter_format	W	H	C	N	K	S	R	pad_w	pad_h	stride_w	stride_h	out_w	out_h	input_stride_w	input_stride_h	filter_stride_w	filter_stride_h	FWD_GEMM	FWD_GEMM WORKSPACE	FWD_IMPLICIT_GEMM	FWD_IMPLICIT_GEMM WORKSPACE	FWD_PRECOMP_GEMM	FWD_PRECOMP_GEMM WORKSPACE	FWD_DIRECT	FWD_DIRECT WROKSPACE	FWD_FFT	FWD_FFT WORKSPACE	FWD_FFT_TILING	FWD_FFT_TILING WORKSPACE	FWD_WINOGRAD	FWD_WINOGRAD WORKSPACE	FWD_WINOGRAD_NONFUSED	FWD_WINOGRAD_NONFUSED WORKSPACE	BWD_FILTER_ALGO_0	BWD_FILTER_ALGO_0 WORKPACE	BWD_FILTER_ALGO_1	BWD_FILTER_ALGO_1 WORKSPACE	BWD_FILTER_ALGO_3	BWD_FILTER_ALGO_3 WORKSPACE	BWD_FILTER_FFT	BWD_FILTER_FFT WORKSPACE	BWD FILTER FFT_TILING	BWD FILTER FFT_TILING WORKSPACE	BWD_DATA_ALGO_0	BWD_DATA_ALGO_0 WORKSPACE	BWD_DATA_ALGO_1	BWD_DATA_ALGO_1 WORKSPACE	BWD_DATA_FFT	BWD_DATA_FFT WORKSPACE	BWD_DATA_FFT_TILING	BWD_DATA_FFT_TILING WORKSPACE	BWD_DATA_WINOGRAD	BWD_DATA_WINOGRAD WORKSPACE	BWD_DATA_WINOGRAD_NONFUSED	BWD_DATA_WINOGRAD_NONFUSED WORKSPACE
NCHW	NCHW	NCHW	1	1	256	32	324	3	3	1	1	1	1	1	1	1	1	1	1	483.164	294912	576.49	0	486.501	9216	n/a		15873.1	212963328	-	441769984	7612.34	8754448	2437.77	14616576	8764.78	0	325.143	6336	8946.17	0	n/a		n/a		3567.6	0	1157.17	0	11935.4	217976832	-	441769984	7226.92	8360960	2239.62	14616576	
NCHW	NCHW	NCHW	1	1	256	32	16	3	3	1	1	1	1	1	1	1	1	1	1	231.313	294912	454.595	0	452.919	9216	n/a		2655.59	28459008	9066.04	55730176	563.47	671808	419.15	1843200	370.824	0	41.4037	576	368.312	0	n/a		n/a		724.16	0	95.8683	0	1339.07	19021824	4761.86	55730176	651.527	410624	399.166	1843200	
NCHW	NCHW	NCHW	3	3	256	32	324	3	3	1	1	1	1	3	3	1	1	1	1	1470.92	2654208	2258.99	0	1418.25	60	n/a		15335.5	212963328	-	441769984	4057.6	8754448	2453.2	14616576	9241.88	0	1706.91	2572	1651.36	2356	13007.7	191476224	n/a		4382.96	0	1020.06	2236	12374.5	217976832	-	441769984	3812.6	8360960	2172.98	14616576	
NCHW	NCHW	NCHW	3	3	256	32	16	3	3	1	1	1	1	3	3	1	1	1	1	347.655	2654208	936.545	0	382.407	60	n/a		2862.77	28459008	9141.68	55730176	420.615	671808	420.196	1843200	421.866	0	139.424	2428	125.701	2356	1937.91	20072448	n/a		620.32	0	93.1442	2236	1600.36	19021824	4885.15	55730176	354.655	410624	409.153	1843200	
NCHW	NCHW	NCHW	5	5	256	32	486	3	3	1	1	1	1	5	5	1	1	1	1	5024.14	7372800	5271.65	0	3430.96	156	n/a		21578.9	310007808	-	644816896	11330.2	12869528	3535.54	31592448	16245.7	0	5206.29	2764	5535.09	2476	18319.2	288209664	n/a		6155.98	0	3800.43	2332	17670.9	326965248	-	644816896	10258.7	12475392	3192.18	31592448	
NCHW	NCHW	NCHW	5	5	256	32	24	3	3	1	1	1	1	5	5	1	1	1	1	697.406	7372800	1956.44	0	417.601	156	n/a		3036.22	33251328	9815.71	65757184	578.786	745568	611.669	6045696	675.041	0	326.093	2548	312.194	2476	2076.06	20720640	n/a		1074.77	0	250.041	2332	1518.23	19095552	5819.69	65757184	787.517	615424	569.635	6045696	
NCHW	NCHW	NCHW	10	10	512	32	486	3	3	1	1	1	1	10	10	1	1	1	1	32630	58982400	33751.9	0	22946.6	608	n/a		-	620015616	-	1221926912	28299.6	25737112	14204.2	77220864	52659.3	0	34845.1	3352	36852.8	2776	-	579529728	n/a		43838.2	0	24421.8	2784	-	618098688	-	1221926912	27332.6	24950784	13230.9	77220864	
NCHW	NCHW	NCHW	10	10	512	32	24	3	3	1	1	1	1	10	10	1	1	1	1	5203.53	58982400	4964.02	0	2010.89	608	n/a		5527.44	66502656	19418.8	128147456	1730.99	1491040	3598.92	23998464	3223.25	0	2202.54	2920	2151.87	2776	4112.71	39825408	n/a		7994.64	0	1523.17	2784	3083.05	38191104	11685.1	128147456	2234.87	1230848	2188.46	23998464	
NCHW	NCHW	NCHW	19	19	512	32	486	3	3	1	1	1	1	19	19	1	1	1	1	115609	212926464	120886	0	82272.2	2172	n/a		-	2317398016	-	1221926912	115962	25737112	32997.6	150801408	134854	0	123836	3892	127681	3316	-	2188290816	n/a		135449	0	87186.1	4348	-	2310156288	-	1221926912	110609	24950784	30787.3	150801408	
NCHW	NCHW	NCHW	19	19	512	32	24	3	3	1	1	1	1	19	19	1	1	1	1	17563.9	212926464	17032.2	0	8267.18	2172	n/a		22581.6	250003456	19898.6	128147456	6863.77	1491040	9260.08	63516672	10281.1	0	8252.16	3460	8204.98	3316	17561.3	150400000	n/a		29970.6	0	5438.65	4348	12960.8	143048704	12486.5	128147456	9011.47	1230848	5705.77	63516672	
NCHW	NCHW	NCHW	38	38	256	32	324	3	3	1	1	1	1	38	38	1	1	1	1	-	425852928	232501	0	121100	8672	n/a		-	3082653696	-	522567680	137217	8754448	-	279207936	197516	0	195895	4672	197460	4456	-	2862729216	n/a		190625	0	118905	10848	-	3156185088	-	522567680	118505	8360960	259.652	279207936	
